Question,Answer - LLM,Answer - Ground Truth
" Paige ? had 11 songs on her mp3 player. If she deleted 9 old songs from ? it and then added 8 new songs, how many songs ! does she have on her mp3 ? player? ",The final answer is 14 songs.,10
" There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 , of them got called back, how many students didn't make ; the , cut? ",The final answer is 13 students didn't make the cut.,17
" Faye had 34 . coloring books. If she gave away 3 of them, but then bought 48 more, how many would she have total? ; ",The final answer is 51.,79
" The school cafeteria had 23 apples. If they used 20 to make lunch for the students ; and then bought 6 more, , how many apples would they have? ",The final answer is 23 apples.,9
" In a video ? game, each ; enemy defeated gives you 9 points. If a level has 11 enemies total and you . destroy all but 3 of them, how many points would you earn? ",You would earn 27 points.,72
" Megan earned 8 points for each bag of cans : she recycled. If , she had 14 bags, but didn't ; recycle 5 of them, how many points would she have earned? ",The final answer is 56 points.,72
".  April's discount : flowers was having a sale where each rose was 4 dollars. If April ? started with 13 roses and had 4 roses left, how much money : did she earn? ",The final answer is 16 dollars.,36
" Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many ! did he not wash? ",9,1
" A company invited , 47 people to a luncheon, but 7 of them didn't show up. If the tables they ; had held 5 people each, how many tables do they need? ",The final answer is 9 tables.,8
" Tom had 5 books. If he , sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",The final answer is 34 books.,39
" For a birthday party ! Jerry ; bought 41 regular sodas and 22 diet sodas. If his fridge would only hold ! 9 on each shelf, how many shelves would he fill up? : ",Jerry would fill up 5 shelves.,7
" For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do ! they have left? ",The final answer is 17 pieces left.,39
 Emily was planting vegetables in her garden. She started with 41 seeds ? and planted 29 of them . in the big garden and in each of her small gardens put 4 seeds each. How many ; small gardens ? did ! Emily have? ,The final answer is 7.,3
" For Halloween Emily received 5 pieces of candy from neighbors , and 13 pieces from her older sister. , If she only ate 9 pieces a day, how long would the candy last her? ",The final answer is 19 days.,2
" Mike is at the library helping put away books. There are 82 book to put away total but a librarian takes 10 of them and leaves Mike with the rest. If he can fit 9 books on a : shelf, how many shelves will he need? ",The final answer is 9 shelves.,8
" While on vacation, : Nancy , took 49 pictures at the zoo and 8 at the museum. If she later deleted 38 of the pictures, how many pictures from her vacation , did she still have? ",Nancy still had 19 pictures from her vacation.,19
" A new building needed : 14 windows. The builder had already installed 8 of them. If it takes 8 hours to install each window, how long will it take him to install the rest? ",It will take 10 hours to install the rest of the windows.,48
 A store had 40 oranges in a bin. If they threw away : 25 of ; the old ? ones and put 21 new ones in the bin how many would be in the bin? ; ,The final answer is 19.,36
" At lunch a waiter had 7 customers and 5 of them didn't leave a tip. If he got $3 each from . the ones who did tip, how ! much money did ; he earn? ",The final answer is $15.,6
 For Halloween Faye scored 47 pieces of candy. She ate 25 pieces the first night and then her sister gave her 40 more pieces. How many pieces of candy does ; Faye have now? ,Faye has 67 pieces of candy now.,62
 : A group of 4 friends went into a restaurant. The chef ! already had 9 . chicken wings cooked but cooked 7 more for the group. If they each got the same amount how many would each person get? ,Each person would get 2 chicken wings.,4
" John earned 8 dollars for each lawn he mowed. ! If he had 15 lawns to mow, but forgot to mow 7 of ? them, how much money did he actually earn? ",The final answer is 108 dollars.,64
" A pet shelter had 5 , puppies when another 35 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",It would take 10 days for all of them to be adopted.,5
" A ; new building needed 9 windows. The builder had already installed 6 of them. If it takes 6 hours to install each window, how long will it take him to install the rest? : ",It will take 3 more hours to install the rest of the windows.,18
